Şanlıurfa;(6. Yarış Günü);10/12/2025
1. Kosu :   17.45;Handikap 15 /H3; 3 Yaşlı İngilizler; kg; 2100m; Kum;;;;Rekor Derece :2.13.86
İkramiye;;;;;Yetiştirici Primi;;;;
1.)250.000 TL;2.)100.000 TL;3.)50.000 TL;4.)25.000 TL;5.)12.500 TL;1.)45.000 TL;2.)18.000 TL;3.)9.000 TL;4.)4.500 TL;5.)2.250 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;SUPERSON KG;3y d  e;MORE THAN A GAME (USA);SEVDİK;60,5;M.ŞAKİR AP;MEHMET AÇIKGÖZ;M.E.SARIDAL;1;;51;K6K4K0K0K4K3;8;13;2:45.66
2;INFORMACTION KG SK;3y d  e;MYBOYCHARLIE (IRE);CHARDONNAY;61;A.AKDEMİR;MAHMUT KARAKEÇİ;Z.AKDEMİR;6;;48;K5K1K6K2K5K2;9;18;
3;TU Y YO KG DB SK;3y d  d;TRAPPE SHOT (USA);AMBERİM;58;M.IŞIK AP;ABDULHAMİT YARDIMCI;EY.YARDIMCI;5;;46;K0K4K0K4K1K5;9;19;
4;TAHİRBEYLİ DB;3y a  e;KANEKO;ESCLARMONDE (IRE);57;M.E.DOĞAN;MEHMET ŞENBAHAR;H.ÇALI;3;;40;K8K9K6K3K6K3;9;11;
5;HOT SUGAR SK;3y a  e;HOT CHOCOLATE;SUGAR FOOT;56,5;B.BEKTAŞ;SONGÜL YILDIRIM;M.E.SARIDAL;8;;39;K1K7K3K4K2K4;9;17;
6;BLACK STONE DB SKG SK;3y a  e;VOODOO SONG (USA);PRENSES MELEK;55,5;A.H.BAYAR;MEHMET ÇİZİK;T.ÇİZİK;2;;37;K4Ç4K2Ç4K2K6;8;17;
7;ART LEGEND DB SK;3y d  e;BLUEGRASS CAT (USA);VICTORY LEGEND (IRE);54,5;N.ALTIN;MEHMET DEMİR;MEH.ALTIN;9;;35;K5K8K1K0Ç0K0;23;17;
8;RIO THE GLORY KG DB SK;3y a  e;CAPTAIN RIO (GB);SPEAK ME SOFTLY;54;F.YARDIMCI;ABDULLAH TEKİNALP;Ö.GÜNDÜZ;7;;34;K6K8K0K9K5K6;7;12;
9;SAKLIKAPI KG DB SK;3y a  d;AUTHORIZED (IRE);İSMETİNKIZI;53;B.SARIDAL AP;ALİ ŞAHİN;T.TAHTA;4;;32;K2K3K3K3K6K3;7;16;
1. 6'LI GANYAN Bu koşudan başlar;1. ÇİFTE Bu koşudan başlar;GANYAN;SABİT GANYAN;İKİLİ;SIRALI İKİLİ;SABİT İKİLİ

2. Kosu :   18.30;Handikap 15/DHÖW/Dişi /H3; 4 Yaşlı Araplar; kg; 1800m; Kum;;;;Rekor Derece :2.04.78
İkramiye;;;;;Yetiştirici Primi;;;;
1.)250.000 TL;2.)100.000 TL;3.)50.000 TL;4.)25.000 TL;5.)12.500 TL;1.)45.000 TL;2.)18.000 TL;3.)9.000 TL;4.)4.500 TL;5.)2.250 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;GÜVENKIZ DB SK;4y a k;KAYAYÜREKLİ;YARDIMCIKIZI;60,5;M.ŞAKİR AP;MEHMET BECENE;R.BECENE;4;;50;K5K5K2K9K3K1;9;20;
2;KARACA DÜNYA KG K;4y a k;ABUŞ;GÜLPERİSİ;61;Y.ÇELİKBAŞ;YUSUF ZİYA KARAKUŞ;İ.ÇEÇAN;3;;47;K3K2K0K5K6K9;16;14;2:16.77
3;ZEYNEPCANKIZI KG K DB;4y a k;ŞİMŞEĞİNOĞLU;ŞİPAL;60,5;M.A.AKTÜRK;HÜSEYİN BECENE;R.BECENE;1;;46;K0Ç5Ç6K5K3K1;14;20;
4;LAVİSTAKAYA SK;4y k k;BERKCAN;DOKTORKAYA;58,5;A.AKDEMİR;AHMET BABACAN;Z.AKDEMİR;5;;42;K2K6K5K6K5K5;9;15;2:21.24
5;HENAKIZ KG DB SK;4y a k;SONALP;BAHTİSER;56;İ.AKYAVUZ;CEBRAİL AKTAŞ;EKR.YARDIMCI;2;;37;K5K3K2K6K8K3;9;15;2:20.50
7'Lİ PLASE;1. 3'LÜ GANYAN;2. ÇİFTE Bu koşudan başlar;GANYAN;SABİT GANYAN;SIRALI İKİLİ

3. Kosu :   19.00;Handikap 15/DHÖW /H3; 3 Yaşlı Araplar; kg; 1400m; Kum;;;;Rekor Derece :1.35.56
İkramiye;;;;;Yetiştirici Primi;;;;
1.)250.000 TL;2.)100.000 TL;3.)50.000 TL;4.)25.000 TL;5.)12.500 TL;1.)75.000 TL;2.)30.000 TL;3.)15.000 TL;4.)7.500 TL;5.)3.750 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;BELALI CİBEK KG DB SK;3y k  e;SAKARBAŞI;AHKAM;57,5;M.ŞAKİR AP;VEYSİ KABAL;S.AKYAVUZ;9 - DS;;54;Ç8Ç0K8K3Ç2K4;28;13;
2;TUSTUS TUĞRUL KG SK;3y a  e;TAYKUT;KISRAK GÜZELİ;58,5;N.ALTIN;MEHMET BOZKAYA;MEH.ASLAN;1;;52;K1S3Ç3K6K1K5;28;19;
3;KÜÇÜK EYYÜP KG DB SK;3y k  e;TALİPHAN;CİMCİMEM;57,5;H.ALTUNDAĞ;REŞİT TUMBUL;MEH.ALTIN;7;;50;Ç2Ç1Ç5Ç7K1;26;20;1:37.32
4;HIZLI İBRAHİM KG SK;3y k  e;FATİH AĞA;ERGÜL HANIM;57;İ.KATAR;SEDAT SUBAY;İ.ÇEÇAN;3;;49;K2K1K4K2K2K2;14;19;
5;SURUÇLU MEMO KG SK;3y k  e;FATİH AĞA;ELENAZ;56;A.AKDEMİR;MÜSLÜM BAKAY;F.BAKAY;8;;47;K4Ç1Ç2Ç3Ç2K3;15;17;
6;YUSUF KAPTAN KG DB SK;3y a  e;ALTINCI HİS;KAFKASLIDEVRANI;55,5;F.YARDIMCI;MEHMET AKYILDIRIM;Y.BAYSAL;6;;46;K5K3K3K5K4K1;16;20;1:48.88
7;ÇERMİKŞAH KG SK;3y k  e;DEMİRDÖVEN;ÇERMİKKIZI;54;İ.AKYAVUZ;FUAT ARSLAN;R.BECENE;4;;43;K3K2K4K3K9K1;30;20;1:42.16
8;TAHT ALAN KG DB;3y a  e;ATEŞTOPU;İNCİFER;54;A.H.BAYAR;MEHMET KILIÇ;N.DOĞAN;5;;43;K7K6K4K1K7K0;30;18;1:43.55
9;ÇILGIN HEME DB SKG SK;3y k  e;SON MARTI;YARDIMCI GÜLÜ;52,5;İ.GÜREKE AP;ÖMER YARDIMCI;EY.YARDIMCI;2;;40;K2K2K3K5K3K3;14;17;
2. 6'LI GANYAN Bu koşudan başlar;3. ÇİFTE Bu koşudan başlar;GANYAN;SABİT GANYAN;İKİLİ;SIRALI İKİLİ;SABİT İKİLİ

4. Kosu :   19.30;Maiden/DHÖW/Dişi; 3 Yaşlı Araplar; 57.00kg; 1400m; Kum;;;;Rekor Derece :1.35.56
İkramiye;;;;;Yetiştirici Primi;;;;
1.)285.000 TL;2.)114.000 TL;3.)57.000 TL;4.)28.500 TL;5.)14.250 TL;1.)85.500 TL;2.)34.200 TL;3.)17.100 TL;4.)8.550 TL;5.)4.275 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;KÜÇÜK ZEYNEP;3y d  d;ASLANPARÇASI;KIRBERCA;59;İ.GÜREKE AP;HACIM KANDEMİR;H.ÇALI;11;;30;K0K0Ç2K7Ç5K5;9;14;
2;NAZLI BERRA DB SK;3y k  d;ALTINCI HİS;DENİZSEFASI;60;İ.AKYAVUZ;MUSTAFA YARDIMCI;A.YARDIMCI;2;;25;K5K5K2K6K2K3;9;17;1:52.23
3;YARALI AKBAŞ KG DB SK;3y a  d;SEMEND;ZEYNEBİM;59;Y.CENGİZ;MAHMUT AKBAŞ;Ö.GÜNDÜZ;6;;25;K5Ç6K2K5K2K7;11;17;1:47.41
4;ANANDİ KG DB;3y a  d;SERHANTAY;NESİBE KIZ;54;E.AKKILIÇ AP;İBRAHİM ÇELİK;BAR.BULUT;5;;24;K0K2K8K4K4K5;9;16;1:54.19
5;ÇIĞGİBİ KG DB;3y a  d;ODİNHAN;BÖRTEKİZ;57;N.ALTIN;AHMET YILANCIK;A.YARDIMCI;1;;16;K0Ç5Ç7Ç6Ç6K0;15;13;
6;GÖKÇEKRALİÇE KG SK;3y k  d;GELİBOLU;DOĞAGÜZELİ;55;M.ŞAKİR AP;ŞEREF ATLI;ÇET.ARSLAN;4;;;K7K3;21;18;
7;GÜNHAN KIZI DB SK;3y a  d;FATİH AĞA;GÜNHAN;57;İ.KATAR;MEHMET ATEŞ;M.ASLAN;10;;24;K6Ç3Ç9Ç0K9K0;23;9;2:26.74
8;HİPOTENÜS DB SKG SK;3y k  d;FATİH AĞA;EREN ÇİÇEĞİ;56;F.ÇETİN AP;MUHAMMED ALP EREN;H.ATAKAYA;9;;24;K0K9K0Ç9K2;21;15;
9;KÜÇÜK ADUL KG K DB;3y k  d;AKARÇAY;ADUL;54;B.SARIDAL AP;MURAT ÇELİK;M.E.SARIDAL;7;;;K0;23;19;2:15.22
10;KÜÇÜK CANSU SKG SK;3y a  d;UÇANBEY;ÇATIRAYKIZI;57;A.H.BAYAR;SERDAR DOĞAN;H.ATAKAYA;3;;7;Ç0Ç0K0Ç0K6;21;15;
11;PRENSES ANCELİNA KG K DB;3y k  d;TURBO;ANCELİNA;57;F.YARDIMCI;AHMET ŞAHİN;İ.ÇEÇAN;13;;28;Ç4Ç3Ç8K5K6K5;15;15;1:54.44
12;TOYPINAR KG K;3y k  d;FATİH AĞA;İDAL SULTAN;55;M.IŞIK AP;ENVER TOYDEMİR;M.DEMİROL;8;;14;Ç0K7K9K7K5K4;9;6;1:56.10
13;ZELİHAKIZ KG DB SK;3y k  d;ŞİMŞEĞİNOĞLU;ÖZBEKCEYLAN;57;A.AKDEMİR;İZZETTİN SUNKAR;İ.ÇEÇAN;12;;11;K0K0K0K7K6K4;21;10;
5'Lİ GANYAN;4. ÇİFTE Bu koşudan başlar;GANYAN;SABİT GANYAN;İKİLİ;SIRALI İKİLİ;SABİT İKİLİ;ÜÇLÜ BAHİS;PLASE;PLASE İKİLİ;SIRALI 5 Lİ BAHİS

5. Kosu :   20.00;Handikap 15/DHÖ /H3; 4 ve Yukarı Araplar; kg; 1900m; Kum;;;;Rekor Derece :2.14.28
İkramiye;;;;;Yetiştirici Primi;;;;
1.)250.000 TL;2.)100.000 TL;3.)50.000 TL;4.)25.000 TL;5.)12.500 TL;1.)45.000 TL;2.)18.000 TL;3.)9.000 TL;4.)4.500 TL;5.)2.250 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;GECE IŞIĞI DB SK;6y k  a;SONALP;BENİL;61;M.ŞAKİR AP;MAHMUT KARAKEÇİLİ;S.KARAKEÇİLİ;5;;54;K9K2K5K2K2K4;16;18;2:17.96
2;ÖZARAS SKG SK;5y k  a;ARASLI;SERENKIZ;61;M.IŞIK AP;SELİM DEMİRKAPU;B.DEMİRKAPU;1;;54;K7K4K5K4K3K1;7;20;2:25.77
3;GÖKKUZGUN KG K DB;6y k  a;UÇANOĞLU;GÖKYEL;62,5;İ.KATAR;MEHMET EMİN DEMİRKAPU;D.DEMİRKAPU;6;;53;S2-S0S8K9S2K0;28;15;
4;RÜZGAR DELEN KG DB SK;4y a  a;SERHANTAY;KINALIGELİN;61;Y.CENGİZ;YASİN TEKTAŞ;S.AKYAVUZ;4;;53;K4K9Ç4K5K5K4;7;17;2:26.63
5;DOĞUNUN KARATAŞI KG DB SK GKR;4y k  a;SON MARTI;YARDIMCI GÜLÜ;59,5;F.YARDIMCI;ÖMER YARDIMCI;EY.YARDIMCI;8;;50;K5K6K3K2K6K3;7;15;2:42.32
6;PINAR RÜZGARI KG SK;4y k  a;SERHANTAY;KÜÇÜKKIYAMET;59;A.AKDEMİR;EMRAH CANPOLAT;İ.ÇEÇAN;2;;49;K3Ç4K2K9K3K6;10;15;2:23.34
7;BENZEMA DB SKG SK;5y k  a;JOKER;ŞERMİN KIZI;59,5;B.BEKTAŞ;MEHMET TAHİR AKIL;T.ÇİZİK;7;;47;K3K7K8K7K4K7;16;13;2:20.26
8;GÖNÜL SAYFAM SKG SK;5y a k;TÜMÖZ BEY;BÖRTEKİZ;59,5;H.ALTUNDAĞ;MEHMET EMİN DEMİRKAPU;D.DEMİRKAPU;9 - DS;;47;K0K0K5K5K7K3;7;12;2:19.62
9;LORD ŞAHI KG DB SK;4y k  a;TURBO;POLİYANA;57,5;İ.AKYAVUZ;AHMET ŞAHİN;EKR.YARDIMCI;10 - DS;;46;K2K2K6K6K4K2;9;16;
10;KINIK BEYİ KG SK;4y a  a;GÜNTAY;SABIKAKIZI;55;A.H.BAYAR;NAGİHAN TOKMAK;RES.KAYA;3;;41;K2K5K4K3K5K0;16;16;2:36.66
[(3)GÖKKUZGUN,(8)GÖNÜL SAYFAM,] eküridir.4'LÜ GANYAN;5. ÇİFTE Bu koşudan başlar;GANYAN;SABİT GANYAN;İKİLİ;SIRALI İKİLİ;SABİT İKİLİ;ÜÇLÜ BAHİS;PLASE;PLASE İKİLİ

6. Kosu :   20.30;KV-8; 3 ve Yukarı İngilizler; 58.00kg; 60.00 kg; 60.00 kg; 2000m; Kum;;;;Rekor Derece :2.07.98
İkramiye;;;;;Yetiştirici Primi;;;;
1.)500.000 TL;2.)200.000 TL;3.)100.000 TL;4.)50.000 TL;5.)25.000 TL;1.)120.000 TL;2.)48.000 TL;3.)24.000 TL;4.)12.000 TL;5.)6.000 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;DAR SOKAK KG K;8y d  g;EXPANSION (USA);VICTORY KISS;61;N.ALTIN;MUSTAFA ERCAN;A.YARDIMCI;11 - DS;;89;K3K2K1K1K1K2;16;19;2:14.71
2;SEVİNÇLİ K DB;4y a  a;GÜNGÖR BABA;ESCLARMONDE (IRE);61;L.TAPTIK AP;TAHİR ŞİMŞEK;H.ÇALI;10 - DS;;81;K4K6K1K9K3K8;32;17;2:21.00
3;CALIBRATION KG SK;6y d  a;TEMPLE CITY* (USA);AMIZZEN GRACE (USA);60;A.AKDEMİR;ABDULVEHAP AKDAĞ;MEHM.KAYA;3;;87;K5K9K0K8K2K0;16;14;2:14.75
4;HANDSOME LAKE;4y d  a;GÜNGÖR BABA;SİMETRİ;60;M.KIYAK AP;EMRAH İPEK;Ş.İPEK;2;;77;K0Ç1Ç1Ç3Ç8K6;8;17;2:13.61
5;JEFE DE JEFES DB SK;5y d  a;PAPA CLEM (USA);SHIBUYA;60;Y.CENGİZ;HÜSEYİN AKYAVUZ;S.AKYAVUZ;9 - DS;;99;K6K8K8K2K3K9;4;20;2:06.98
6;KING BATUR SKG SK;6y d  a;KANEKO;SARAJEVO;60;F.YARDIMCI;AHMET DİLMAÇ;H.ATAKAYA;7;;94;K1K1K3K5K6K0;74;16;2:10.43
7;MEMORY REMAINS DB SKG SK;5y d  a;WIENER WALZER (GER);MEMORY AND MAGIC (USA);60;H.ALTUNDAĞ;ZELİHA KARAKEÇİLİ;M.DEMİROL;6;;89;K2K2K0K2K5K3;8;16;2:09.32
8;QUIET MAN DB SKG SK;4y d  a;AIR VICE MARSHAL (USA);ALWAYS THE FIRST;60;İ.KATAR;MUHAMMED ALİ ÇİZİK;T.ÇİZİK;8;;80;K6K2K1K1K1K3;10;19;2:17.79
9;WAR COMANDER SK;4y d  a;TIZWAY (USA);SİMİRNALI KIZ;60;İ.AKYAVUZ;CAN ÇAĞRI;T.ÇİZİK;4;;91;K5K1K1K1K1K1;16;20;2:09.92
10;HOLLOW MAN SK;3y d  e;KLUGER (JPN);POWERS JOY;58;B.BEKTAŞ;ÖMER FELHAN;A.AKBABA;5;;68;K1K4K2K4K1K3;74;19;2:12.97
11;KUTUP KIZI SKG SK;4y d k;CRIMEAN TATAR;TYPHOON GIRL;58;H.SARIDAL;HÜSEYİN SARIDAL;M.E.SARIDAL;1;;60;K2K9K1K6K3K2;7;17;2:15.42
2. 3'LÜ GANYAN;6. ÇİFTE Bu koşudan başlar;GANYAN;SABİT GANYAN;İKİLİ;SIRALI İKİLİ;SABİT İKİLİ;ÜÇLÜ BAHİS;PLASE;PLASE İKİLİ

7. Kosu :   21.00;ŞARTLI 3/Dişi; 2 Yaşlı İngilizler; 57.00kg; 1400m; Kum;;;;Rekor Derece :1.24.64
İkramiye;;;;;Yetiştirici Primi;;;;
1.)200.000 TL;2.)80.000 TL;3.)40.000 TL;4.)20.000 TL;5.)10.000 TL;1.)60.000 TL;2.)24.000 TL;3.)12.000 TL;4.)6.000 TL;5.)3.000 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;FIRST BREATH KG K ÖG;2y d  d;BLUEGRASS CAT (USA);İLK BUSE;60;İ.AKYAVUZ;MEHMET AKTAŞ;EKR.YARDIMCI;4;;41;K1K1;9;20;1:40.10
2;PROBABLY THE BEST DB SKG SK;2y a  d;SUPER SAVER (USA);TATVAN KIZILCA (CAN);59;M.DOĞAN;C.TAHİR BURHANLIOĞLU;H.ATAKAYA;2;;32;K5K0K1K3K4K9;28;17;1:33.05
3;QUEEN GÖNÜL K DB;2y d  d;BODEMEISTER (USA);TULUMBACI KIZ;59;F.YARDIMCI;ALİ ÇİZİK;T.ÇİZİK;7;;35;K8K1K2;23;19;1:39.48
4;SHINING OF DARKNES KG DB SK;2y d  d;RUN AWAY AND HIDE (USA);QUEEN VICTORY;56;M.ŞAKİR AP;AZİZ BECENE;R.BECENE;6;;31;K6K4K3K6K7K1;7;20;1:41.22
5;KIZIM NAZERİN DB SKG SK;2y d  d;WAR CORRESPONDENT (USA);HAUTE COUTURE;57;N.ALTIN;FUAT CANLIKA;MEHM.KAYA;5;;31;Ç6K0K1;14;20;1:49.85
6;PİTON KIZ DB SKG SK;2y d  d;MER DE GLACE (JPN);PRAESEPE (GB);57;İ.KATAR;ERDAL YAVUZEL;T.ÇİZİK;3;;32;K8K7K3K1;14;20;1:46.25
7;POWER GIRL SKG SK SGKR;2y d  d;WOLF PRINCE;TORUN CALLAS;57;Y.ÇELİKBAŞ;İSRAFİL FELHAN;A.AKBABA;8 - DS;;33;S8Ç5Ç8S6K1;7;20;
8;ULTRAVIOLENCE K DB;2y d  d;TRAPPE SHOT (USA);SUDDEN STORM;57;H.ALTUNDAĞ;FARUK AY;H.ÇALI;1;;32;K5K2K9K4K3K6;9;15;1:43.74
7. ÇİFTE Bu koşudan başlar;GANYAN;SABİT GANYAN;İKİLİ;SIRALI İKİLİ;SABİT İKİLİ;ÜÇLÜ BAHİS;PLASE

8. Kosu :   21.30;Maiden/DHÖW/Dişi; 3 Yaşlı Araplar; 57.00kg; 1400m; Kum;;;;Rekor Derece :1.35.56
İkramiye;;;;;Yetiştirici Primi;;;;
1.)285.000 TL;2.)114.000 TL;3.)57.000 TL;4.)28.500 TL;5.)14.250 TL;1.)85.500 TL;2.)34.200 TL;3.)17.100 TL;4.)8.550 TL;5.)4.275 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;ALKURUŞKIZI KG DB SK;3y a  d;TURBO;KURUŞKIZI;60;M.E.DOĞAN;MİTHAT KATI;MUR.DOĞAN;13;;33;K2K3K7Ç4S9K2;9;15;1:40.26
2;VİLDAN KIZI KG DB SK;3y a  d;GÖĞEBAKAN;VALİDE;60;A.H.BAYAR;CENGİZ ÇETİN;B.DEMİRKAPU;3;;23;K8K6K0K0K7K0;9;11;
3;İNCİ GÜLÜM SK;3y a  d;DEDE SEYDO;CENGİZGÜLÜ;59;F.YARDIMCI;S.AHMET CENGİZ;F.BAKAY;1;;22;K7K5K7K4K2K5;11;16;1:44.44
4;ATİKEDRA KG SK;3y k  d;FATİH AĞA;ATİKKOBRAM;56;F.ÇETİN AP;MAHMUT KARAKEÇİLİ;MAHMUT DOĞAN;5;;;K8K8;35;18;
5;BELİNAY ÇİÇEĞİ KG DB SK;3y a  d;FATİH AĞA;PİRNAZ;54;İ.GÜREKE AP;ABDULKADİR TOPRAK;H.ATAKAYA;8;;12;K8K5K6;23;17;1:55.69
6;ESRA KIZ KG SK;3y a  d;GÜNTAY;ŞENOCAK GÜZELİ;55;M.ŞAKİR AP;ALİ ÇELİK;S.KARAKEÇİLİ;10;;19;K9K8K4Ç5Ç7K9;9;13;
7;İNCİLİKIZ KG DB SK;3y a  d;SAKARBAŞI;DEMİRKIRGÜLÜ;57;Y.ÇELİKBAŞ;NAİF KARAKEÇİ;Z.AKDEMİR;6;;8;K0Ç0Ç7K5K0;9;15;
8;KIZIMANNA DB SKG SK;3y a  d;DEMİRDELEN;ZEYTİNBAĞI;54;E.AKKILIÇ AP;AHMET ARTIŞ;Ö.GÜNDÜZ;11;;;;;20;
9;MUALLA KG K;3y k  d;FATİH AĞA;CANIM ÇİDEM;57;Y.CENGİZ;HASAN DİLBER;M.E.SARIDAL;12;;8;K7K8K7K9K9;9;15;2:01.93
10;SAĞIRLI HATUNU KG DB SK;3y k  d;SON MARTI;SONSEVİNCEK;57;İ.KATAR;BUBO CANPOLAT;MEH.ALTIN;9;;19;K0K4K9K4K5K6;9;14;
11;SÜPER MATRA KG SK;3y k  d;SAKARBAŞI;MATRAKIZI;57;A.AKDEMİR;NAİF KARAKEÇİ;Z.AKDEMİR;2;;;K8K0;9;18;
12;UÇAN ILGIN KG K;3y a  d;UÇANOĞLU;ILGININ KIZI;57;N.ALTIN;MEHMET EMİN DEMİRKAPU;D.DEMİRKAPU;7;;14;K0K4K4K6;11;16;1:44.48
13;YABGU KG;3y k  d;AKARÇAY;KESKİN DAĞ;55;F.FELHAN AP;HÜSEYİN FELHAN;A.AKBABA;4;;23;Ç5Ç0Ç0K0Ç7Ç0;25;12;
[(7)İNCİLİKIZ,(11)SÜPER MATRA,] eküridir.GANYAN;SABİT GANYAN;İKİLİ;SIRALI İKİLİ;SABİT İKİLİ;PLASE;PLASE İKİLİ;SIRALI 5 Lİ BAHİS;TABELA BAHİS;TABELA BAHİS SIRASIZ

