Bursa;(51. Yarış Günü);10/10/2025
1. Kosu :   14.00;Handikap 15/Dişi /H2; 3 ve Yukarı İngilizler; kg; 1400m; Kum;;;;Rekor Derece :1.24.50
İkramiye;;;;;Yetiştirici Primi;;;;
1.)350.000 TL;2.)140.000 TL;3.)70.000 TL;4.)35.000 TL;5.)17.500 TL;1.)63.000 TL;2.)25.200 TL;3.)12.600 TL;4.)6.300 TL;5.)3.150 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;TIROL HOPE KG DB SK;5y d k;BOSPORUS (IRE);HOPE;63;T.YILDIZ;BURCU KUTLU;M.M.İNAL;4;%4.24(8);58;K1K9K8K0K8K6;14;15;1:27.17
2;DREAMLINER DB SK;5y k k;LUXOR;MEMPHIS BELLE (GB);62;MAHS.TURAN;SEDAT İNAL;F.TOSUN;12;%4.75(7);56;Ç1Ç1Ç6Ç3Ç4Ç9;36;16;
3;MEGA LOVE DB SK;3y d  d;GOOD CURRY;SUDE SULTAN;58 +0.20;H.ÇİZİK;FERHAT ÇELİK;Ö.YILDIRIM;10;%18.67(2);53;S0K6K2K9K3K3;10;13;1:28.49
4;ANGEL QUEST K DB;4y d k;AIR VICE MARSHAL (USA);ISLAND QUEST (USA);57;A.MEH.ALTIN AP;MÜCAHİT TEMEL;K.ŞENGEL;13;%7.76(5);52;Ç3Ç4Ç2Ç1Ç7Ç5;25;18;1:35.36
5;PERİ MİRA DB SK;3y d  d;TOUCH THE WOLF;LEGEDEMA;57,5;E.YAVUZ;ALPER ERDOĞUŞ;A.ÖZDENİZ;8;%17.14(3);52;Ç4Ç2Ç6Ç4K5Ç2;7;16;1:29.69
6;LOVESUN KG K DB;4y d k;RUN AWAY AND HIDE (USA);MOUNTAIN KITTEN;56 +0.50;E.AKPINAR AP;VOLKAN YOZGATLI;Y.GÜNDOĞDİ;2;%1.33(10);50;Ç3Ç0Ç9K0-Ç3Ç0;36;14;1:35.71
7;BEBEĞİM OLDUN K;3y d  d;MYBOYCHARLIE (IRE);PAÇİ;56 +0.30;O.YILDIZ;CEYHUN ÇETİNKAYA;H.HARMANBAŞI;1;%5.52(6);49;S6S2S0S3Ç9Ç8;14;12;
8;GO BEAUTY DB;4y d k;GRAYSTORM;COZY TALE (USA);55,5 +0.10;F.KARAKURT AP;GAZANFER YAVUZ;A.ÖZDENİZ;11;%2.17(9);47;Ç4Ç5Ç4Ç8Ç6Ç6;35;14;
9;CATIMINI KG DB;4y d k;PACO BOY (IRE);ALIYAMA (IRE);51 +1.20;HA.GÖKÇE AP;FERİT SARAK;U.YOĞURTCU;9;%1.16(11);40;S0S0S0Ç0Ç9Ç6;32;7;1:30.13
10;HUSARIA KG;3y d  d;NOBEL PRIZE (IRE);WINGED VALKYRIE (IRE);51,5 +2.00;N.AVCİ;BİLAL AVCI;S.ÇİFTÇİ;7;%18.92(1);40;Ç0K5K6Ç3Ç3Ç3;7;16;1:28.87
11;TRUE ANGEL KG K DB;4y d k;BLUEGRASS CAT (USA);LADY DERYA (IRE);57;B.M.MIRIK;FURKAN GÜVEN;O.ÖZPUYLAT;6;%16.07(4);46;K7Ç0K0K7K8K1;4;20;1:28.23
12;GENÇAY NALAN KG K DB;4y a k;SHERE KHAN;AKYAZILI HANDE;51 +2.00;C.PASO;CİHAN ERDEM KOPAL;K.ŞENGEL;5;%1.12(13);34;K2K8K3K6K7K9;14;9;1:29.93
13;NOVADORA DB SK;4y d k;APPROVE (IRE);LERZAN;50 +2.00;B.ÇIĞLA AP;İDİL TUNÇ;F.KIRAN;3;%1.14(12);32;Ç9Ç6Ç5Ç2Ç7Ç0;7;9;1:31.62
1. 6'LI GANYAN Bu koşudan başlar;1. ÇİFTE Bu koşudan başlar;GANYAN;İKİLİ;SIRALI İKİLİ

2. Kosu :   14.30;Maiden/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1300m; Kum;;;;Rekor Derece :1.26.81
İkramiye;;;;;Yetiştirici Primi;;;;
1.)390.000 TL;2.)156.000 TL;3.)78.000 TL;4.)39.000 TL;5.)19.500 TL;1.)117.000 TL;2.)46.800 TL;3.)23.400 TL;4.)11.700 TL;5.)5.850 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;HEYBETLİ KG SK;3y a  e;BERKSOY;DELTA;59;A.MEH.ALTIN AP;TÜRKAN ALTIN;B.ATAY;9;%38.15(1);36;Ç8K7K2K3K2K2;10;19;1:32.66
2;ASİL KARACA KG SK;3y d  e;CİHANSER;NURDANAY;57;B.M.MIRIK;ŞAHNUR KARACA;M.ACAR;12;%2.08(7);;Ç9;7;19;
3;BALATÜRK KG DB SK;3y k  e;YAŞARCIK;CAVİDANHANIM;57;M.M.BİLGİN;EMRE ÜNSEVER;G.ÖZER;4;%4.11(5);14;S8K5K0;10;17;
4;CİHAN BABA KG K DB;3y a  e;SERHANTAY;ALNURA;57 +0.40;T.ALICI;CEVER KARAOĞLAN;F.KIRAN;10;%0.56(10);8;Ç0Ç8Ç7Ç8Ç8Ç7;32;11;1:41.78
5;EYBERK;3y a  e;DİLİRAN;KIZIM ZEYNEP;53;HA.GÖKÇE AP;EMİNE KAYA;Z.KAYA;5;%1.24(8);19;Ç5Ç7K5K6;10;16;
6;İSMET ABİ KG SK;3y a  e;FATİH AĞA;BERİLSU;57;N.AVCİ;MEHMET YILDIZ;S.ÇİFTÇİ;7;%13.71(3);;Ç7;7;19;
7;KAYAARSEN KG DB;3y a  e;BERKCAN;GİTHERRE;57 +0.50;O.GÖKÇE;YUSUF KAYA;A.MANTAŞ;6;%0.33(12);;Ç0;7;19;
8;ÖZMİLA KG K DB;3y d  e;ONURKAAN;BEGİM;57;Y.E.YÜKSEL AP;EMRE YILMAZ;M.ÖZGÜL;13;%0.26(13);;Ç0;49;19;
9;SULTANİ DB SK;3y a  e;ÖZHABER;ESMANUR;57;E.YAVUZ;A.LEVENT DİLMAÇ;İ.ÇAK;11;%0.6(9);11;S6Ç0K9;25;17;
10;ŞANSIBOLBEY KG;3y a  e;GELİBOLU;SEDAHANIM;57 +1.10;MAH.TURAN;HALİT DAĞTEKİN;Y.GÜNDOĞDİ;3;%8.44(4);30;Ç4K3Ç7Ç9K3K6;10;14;1:32.98
11;TEKOŞEN KG;3y a  e;TAYKUT;KINALI KUZU;57;O.YILDIZ;REMZİ AKBULUT;V.AKBULUT;1;%26.58(2);;K2;25;19;
12;GÜNTÜRKÜN KG K DB;3y a  d;BAŞ HÜKÜMDAR;HOPALIM;55;C.ALTUN;HAKAN KAVÇİN;F.KIRAN;8;%0.48(11);;Ç9;18;19;
13;MAVİ DÜNYAM	 KG K;3y k  d;KURUŞAĞA;PELENİNKIZI;55 +0.80;A.İNCİ;İBRAHİM HALİL KARATAŞ;A.MANTAŞ;2;%3.45(6);;K9K3;165;18;
1. 5'Lİ GANYAN;2. ÇİFTE Bu koşudan başlar;GANYAN;İKİLİ;SIRALI İKİLİ;ÜÇLÜ BAHİS;PLASE;PLASE İKİLİ;SIRALI 5 Lİ BAHİS

3. Kosu :   15.00;SATIŞ 1; 2 Yaşlı İngilizler; 57.00kg; 1300m; Kum;;;;Rekor Derece :1.18.11
İkramiye;;;;;Yetiştirici Primi;;;;
1.)275.000 TL;2.)110.000 TL;3.)55.000 TL;4.)27.500 TL;5.)13.750 TL;1.)82.500 TL;2.)33.000 TL;3.)16.500 TL;4.)8.250 TL;5.)4.125 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;ÇEPNİ SKG SK;2y d  e;BATTLEGROUND (USA);HEAVEN'S HELP (USA);57;M.ÇİÇEK;SAHDUN KAYA;B.ATAY;2;%62.42(1);40;K4K4K2K1K6K2;17;18;
2;THE LAST KING KG K;2y d  e;TIGHT END;BULLSEYE;57;M.M.BİLGİN;MAHMUT MELİH KILIÇ;Y.KARAKÜÇÜK;5;%25.46(2);47;Ç2Ç3Ç5Ç6Ç2Ç4;7;16;
3;ERİKDALI  KG SK;2y d  d;VICTOIRE PISA (JPN);NURSENA;55;O.ATMACA;DİLEK ÖKTEN;K.KAYALIK;4;%3.2(4);30;K6Ç4Ç3Ç4K6;11;15;
4;FIRAT IN MY HEART KG DB SK;2y d  e;HAKKAR;WHITE DROP;55 +0.20;C.ALTUN;FERHAT ALTIN;İ.ALPUĞUR;1;%1.36(5);19;Ç6K5Ç4K4K8Ç8;7;10;
5;QUİEREME KG DB SK;2y a  d;TRAPPE SHOT (USA);BIG AFRICA;55;N.AVCİ;GÜLİZAR YANIK;M.DOLAK;3;%6.88(3);32;K6Ç5K4K5Ç5Ç5;15;17;
6;VALLEY OF HONOUR KG (Koşmaz);2y d  d;THREE VALLEYS (USA);ABBAGNATO (GB);55 +0.20;C.PASO;KEMAL AYDIN ONUR;K.ŞENGEL;6;%0.68(6);;Ç8;117;19;
7'Lİ PLASE;1. 3'LÜ GANYAN;3. ÇİFTE Bu koşudan başlar;GANYAN;SIRALI İKİLİ

4. Kosu :   15.30;Handikap 21/DHT /H2; 4 ve Yukarı Araplar; kg; 1400m; Kum;;;;Rekor Derece :1.33.63
İkramiye;;;;;Yetiştirici Primi;;;;
1.)500.000 TL;2.)200.000 TL;3.)100.000 TL;4.)50.000 TL;5.)25.000 TL;1.)120.000 TL;2.)48.000 TL;3.)24.000 TL;4.)12.000 TL;5.)6.000 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;DORUĞUN AYAZI KG DB;6y k  a;TURBO;GUBSE;63;T.YILDIZ;TEKİN BİRİCİK;SİN.ALTUNDAĞ;1;%4.85(9)  %4.39(9);86;Ç2Ç4S7Ç0K4Ç4;7;15;1:36.27
2;KAŞMİR TAY KG DB SK;5y d  a;ONURKAAN;İZSÜREN;63;O.GÖKÇE;VAHİT ARI;Z.KAYA;8;%6.91(7)  %5.94(7);86;Ç0Ç8Ç6Ç1Ç2Ç3;21;18;1:49.32
3;UFKUN ÖTESİ DB;4y a  a;UFUKBİR;NURTEN;58,5;HA.GÖKÇE AP;KAYA KAYA;Ş.Ş.DEMİR;2;%2.66(10)  %2.35(10);86;K5S3S1Ç5Ç0K0;8;17;1:38.30
4;KAYALARIN ŞAHI KG SK;4y k  a;KAYAYÜREKLİ;HANIMCIM;61;M.ÇİÇEK;AHMET KAYA;M.DEMİRTAŞ;7;%14.13(3)  %17.81(1);85;K2K1K0K0K2K6;8;16;1:35.96
5;MUCİT TAY DB SK;6y d  a;TÜMÖZ BEY;TOPRAK KOKUSU;60;B.M.MIRIK;YUSUF ZİYA KARAKUŞ;Y.GÜNDOĞDİ;12 - DS;%5.98(8)  %5.46(8);80;K4K9K0K8K4Ç0;4;13;1:35.52
6;HAVZALI KG DB SK;8y d k;ÖZHABER;NURHANIM;60;H.ÇİZİK;RECEP KETME;F.KIRAN;11 - DS;%10.17(4)  %10.4(4);80;Ç5Ç1Ç5K9K2S6;5;16;1:36.48
7;MADEN DAĞI KG DB;5y k  a;KURTEL;KUZUM;60;MAHS.TURAN;AHMET ALTIN;ENG.ALTIN;6;%2.57(11)  %2.01(11);80;Ç4Ç2Ç7Ç0Ç0Ç6;18;13;1:39.38
8;PRENS CORA KG (Koşmaz);8y a  a;ÖZGÜNHAN;EZGİ;59,5;A.İNCİ;İSMET TURAN;Y.KARAKÜÇÜK;3;%0.84(12)  %0.15(12);79;Ç4Ç4Ç7Ç7Ç1Ç3;7;19;1:37.79
9;AZAPKAPI DB;5y k  a;TURBO;KADRUŞ;58,5;N.AVCİ;CEM ÖZBELGE;T.İBİŞ;10 - DS;%17.53(1)  %17.1(3);77;S8S7S7S5Ç3S2;19;14;
10;ATILIMBEYİ KG DB SK;5y d  a;BABA MEVLÜT;ATILIM;58 +0.20;O.YILDIZ;İSKENDER DEMİRCİ;H.DEMİRBAŞ;5;%8.9(6)  %7.51(6);76;Ç1Ç3Ç8Ç4Ç2Ç4;7;16;1:37.07
11;PRENSES DI KG K DB GKR;6y a k;GÜNTAY;KOŞUCU;58;M.M.BİLGİN;FARUK TAŞ;F.KIRAN;9;%16.43(2)  %17.48(2);76;Ç7Ç2Ç0Ç9Ç2K1;11;20;1:37.18
12;ERVANUR DB SKG SK;4y a k;ANKA;NİMETİM;54;O.ATMACA;ÜMİT ÖZSARI;K.ŞENGEL;4;%9.03(5)  %9.41(5);71;Ç3Ç3Ç2Ç4Ç6Ç4;23;16;1:37.88
2. 6'LI GANYAN Bu koşudan başlar;4. ÇİFTE Bu koşudan başlar;GANYAN;İKİLİ;SIRALI İKİLİ

5. Kosu :   16.00;Maiden/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1300m; Kum;;;;Rekor Derece :1.26.81
İkramiye;;;;;Yetiştirici Primi;;;;
1.)390.000 TL;2.)156.000 TL;3.)78.000 TL;4.)39.000 TL;5.)19.500 TL;1.)117.000 TL;2.)46.800 TL;3.)23.400 TL;4.)11.700 TL;5.)5.850 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;TANTARIK KG DB;3y a  e;TARIKHAN;TANIŞIĞI;61;T.YILDIZ;GÜLRU TURCAN;M.M.İNAL;5;%30.1(1)  %28.83(1);38;K2K2K2K2K4;10;18;
2;ADALOF KG K;3y a  e;BİÇER;TAKI;53 +1.80;A.E.ELMAS AP;METE ÇELİK;U.GÖKÇE;10;%3.12(8)  %3.32(8);33;Ç0K7Ç6K2K0;25;15;
3;AFŞARBEY KG;3y k  e;TURBO;İLK KIZ;57;M.M.BİLGİN;HAKKI GÜLAL;SEV.BEKTAŞ;1;%14.48(3)  %13.34(3);34;Ç0K3K2K8;25;16;1:32.90
4;AĞA ABDULLAH KG K;3y k  e;FATİH AĞA;KUTLUAY;57 +0.50;O.GÖKÇE;MUHAMMET YAĞMURLU;Ş.Ş.DEMİR;2;%2.25(9)  %2.47(9);;K5Ç8;7;18;
5;BAYBERK KG SK;3y k  e;KURTÇABEY;İLKORU;57;C.ALTUN;İSKENDER DEMİRCİ;H.DEMİRBAŞ;12;%0.39(12)  %0.44(12);18;S8K5K0K0;25;16;1:34.28
6;BİÇERGİLLER KG DB SK;3y a  e;BİÇER;FERZİNE;57 +0.60;N.ŞEN;ÖNDER BAHAR;G.DÜŞÜNCELİ;4;%0.66(10)  %0.83(10);;K0K8;10;18;
